Person,Year,Location,Activity/Event
Apollos,52 CE,Ephesus,Preaches; taught more correctly by Aquila and Priscilla.
Paul,52 CE,Ephesus,Begins three-year stay.
Apollos,53 CE,Corinth,Waters the seeds sown by Paul.
Paul,53 CE,Ephesus,Preaches in the synagogue for three months.
Gaius (of Macedonia),53 CE,Ephesus,Seized by the mob in the theater.
Aristarchus,53 CE,Ephesus,Seized by the mob in the theater.
Paul,54 CE,Ephesus,Teaches daily in the school of Tyrannus.
Gaius (of Macedonia),54 CE,Ephesus,Companion of Paul.
Aristarchus,54 CE,Ephesus,Companion of Paul.
Paul,55 CE,Ephesus,Writes 1 Corinthians.
Titus,55 CE,Corinth,Sent by Paul to assist with the collection.
Paul,55 CE,Macedonia,Writes 2 Corinthians.
Titus,55 CE,Macedonia,Meets Paul with a report from Corinth.
Timothy,55 CE,Ephesus,Sent to Macedonia and Corinth.
Gaius (of Macedonia),55 CE,Ephesus,Seized by the mob.
Aristarchus,55 CE,Ephesus,Seized by the mob.
Paul,56 CE,Corinth,Writes Romans.
Gaius (of Corinth),56 CE,Corinth,Host to Paul (Rom 16:23).
Paul,56 CE,Troas,Resurrects Eutychus.
Gaius (of Derbe),56 CE,Troas,Travels with Paul.
Tychicus,56 CE,Troas,Travels with Paul to Jerusalem.
Paul,56 CE,Miletus,Meets with the Ephesian elders.
Paul,56 CE,Caesarea,Stays with Philip the evangelizer.
Luke,56 CE,Caesarea,Stays with Paul at Philip's house.
Philip (Evangelizer),56 CE,Caesarea,Hosts Paul and Luke.
Agabus,56 CE,Caesarea,Prophesies Paul's arrest.
Paul,56 CE,Jerusalem,Arrested at the temple.
Paul,57 CE,Caesarea,Imprisoned under Felix.
Luke,57 CE,Caesarea,Likely writes the Gospel of Luke.
Paul,58 CE,Caesarea,Appears before Festus and Agrippa II; appeals to Caesar.
Aristarchus,58 CE,Caesarea,Accompanies Paul on the voyage to Rome.
Luke,58 CE,Caesarea,Accompanies Paul on the voyage to Rome.
Paul,58 CE,Malta,Shipwrecked.
Luke,58 CE,Malta,Shipwrecked with Paul.
Aristarchus,58 CE,Malta,Shipwrecked with Paul.
Paul,59 CE,Rome,Arrives and is placed under house arrest.
Luke,59 CE,Rome,Arrives with Paul.
Aristarchus,59 CE,Rome,Arrives with Paul.
Paul,60 CE,Rome,Writes Ephesians
Mark,60 CE,Rome,With Paul; called a strengthening aid.
Luke,60 CE,Rome,With Paul.
Aristarchus,60 CE,Rome,Fellow prisoner with Paul.
Tychicus,60 CE,Rome,Sent to Colossae and Ephesus with letters.
Onesimus,60 CE,Rome,Sent back to Philemon by Paul.
Philemon,60 CE,Colossae,Recipient of Paul's letter.
Timothy,60 CE,Rome,With Paul.
Paul,61 CE,Rome,Writes Hebrews.
Luke,61 CE,Rome,Completes the book of Acts.
Paul,62 CE,Macedonia,Released; visits congregations.
Timothy,62 CE,Ephesus,Left by Paul to care for the congregation.
Titus,62 CE,Crete,Left by Paul to organize the work.
Mark,62 CE,Babylon,With Peter.
Silvanus (Silas),62 CE,Babylon,Acts as secretary for Peter.
Paul,63 CE,Macedonia,Writes 1 Timothy and Titus.
Timothy,63 CE,Ephesus,Receives Paul's letter.
Titus,63 CE,Crete,Receives Paul's letter.
Mark,63 CE,Babylon,With Peter.
Silvanus (Silas),63 CE,Babylon,Acts as secretary for Peter.
Paul,64 CE,Macedonia,Writes 1 Timothy and Titus (date range).
Timothy,64 CE,Ephesus,Receives Paul's letter (date range).
Titus,64 CE,Crete,Receives Paul's letter (date range).
Mark,64 CE,Babylon,With Peter.
Silvanus (Silas),64 CE,Babylon,Acts as secretary for Peter.
Paul,65 CE,Rome,Imprisoned again; writes 2 Timothy; executed.
Timothy,65 CE,Ephesus,Receives 2 Timothy.
Mark,65 CE,Ephesus,Paul asks Timothy to bring him to Rome.
Luke,65 CE,Rome,With Paul (Luke alone is with me).
Tychicus,65 CE,Rome,Sent to Ephesus by Paul.
Titus,65 CE,Dalmatia,Sent by Paul.
